Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མ་ཡེ་ས་མ་ཏེ་ས་མཱ་རོ་པོ་ཨ་ན་བ་ར་,#ལམྦྷེ,#ཎེ,#ཎེ,#ལམྦྷེ, །ཏ་རཾ་བྷེ། ཡ་ཤོམ་ཧཱ་,K,,,,✓,,,,,c=d p=n 85.00%,c ཎེ(201), ར་ཎེ(65); p ལམྦྷེ(1); d ཎེ(201), ར་ཎེ(65); n ལམྦྷེ(1); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,7
ཎི། སརྦ་ཏ་ཐཱ་ག་ཏ། ཧྲྀ་ད་,#ཡབུངྡྷ །_ ཨ་ #དྷིཥྠ་,ཡ །_ ཨ་ #ཏི་ #ཥྛཱ་,ཡ །_ ཨ་ #ཏི་ #ཥྛཱ་,#ཡབུངྡྷ །_ ཨ་ #དྷིཥྠ་,ན་ཨ་དྷི་ཥྠྀ་ཏེ་སྭཱ་ཧཱ། གཟུངས་འདི་,K,,,,✓,,,,,c=d p=n 85.00%,c ; p ; d ; n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,11
མཛད་ཡེ་ཤེས་ཀྱི་ཞལ་སྔ་ནས་མཛད་པ་རྫོགས་,སོ,#སྷོ,#སྷོ,སོ,ཡེ་དྷརྨཱ་ཧེ་ཏུ་པྲ་བྷ་བཱ་ཧེ་ཏུནྟེ་,K,,,,✓,,,,,c=d p=n 85.00%,c སྷོ(712), སྷོ།།_།།(600), རྫོགས་སྷོ(710), རྫོགས་སྷོ།།_།།(598); p སོ(40406), སོ།།_།།(1472), རྫོགས་སོ(120), རྫོགས་སོ།།_།།(1081); d སྷོ(712), སྷོ།།_།།(600), རྫོགས་སྷོ(710), རྫོགས་སྷོ།།_།།(598); n སོ(40406), སོ།།_།།(1472), རྫོགས་སོ(120), རྫོགས་སོ།།_།།(1081); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,17
བྷ་བཱ་ཧེ་ཏུནྟེ་ཥཱ་ན་ཏ་ཐཱ་ག་ཏོ་,#ཧྱ་,#ཧྱ་བ་,#ཧྱ་བ་,#ཧྱ་,དཏ། ཏེ་ཥཱ་ཉྕ་ཡོ་ནི་རོ་དྷ་ཨེ་,K,,,,✓,,,,,c=d p=n 85.00%,c ; p ཧྱ(9); d ; n ཧྱ(9); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,19
ཞིང་བརྡུང་ངོ་། །དེ་ནས་འབི་འབི་བྱིན་གྱིས་,བརླབ་པ,བརླབ་པ,བརླབ་པ,བརླབས་པ,། འོག་མིན་ནས་བཅོམ་ལྡན་འདས་རྣམ་པར་སྣང་,K,,,,,⟶,,,,c=p=d n 10.00%,c བརླབ་པ(299), གྱིས་བརླབ་པ(289); p བརླབ་པ(299), གྱིས་བརླབ་པ(289); d བརླབ་པ(299), གྱིས་བརླབ་པ(289); n བརླབས་པ(132), བརླབས་པ།_(93), གྱིས་བརླབས་པ(88), གྱིས་བརླབས་པ།_(87), བྱིན་གྱིས་བརླབས་པ།_(87); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,13
དག་པར་རྫོགས་པའི་སངས་རྒྱས་བཞུགས་པ་ལ་ཕྱག་,བཙལ་,འཚལ་,འཚལ་,བཙལ་,བར་བསམ་ཞིང་། སྔགས་ཀྱི་གྲངས་གོང་མ་བཞིན་,K,,,,,⟶,,,,c=d p=n 85.00%,c འཚལ(1146), འཚལ་བར(1009), ཕྱག་འཚལ(371), ཕྱག་འཚལ་བར(234), ལ་ཕྱག་འཚལ་བར(125); p བཙལ(57), བཙལ་བར(715); d འཚལ(1146), འཚལ་བར(1009), ཕྱག་འཚལ(371), ཕྱག་འཚལ་བར(234), ལ་ཕྱག་འཚལ་བར(125); n བཙལ(57), བཙལ་བར(715); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,14
གྲངས་གོང་མ་བཞིན་དུ་བརྗོད་དོ། །དེ་ནས་,བརྟེན་,རྟེན་,རྟེན་,བརྟེན་,འབྲེལ་གྱི་སྔགས་བཟླས་ཤིང་གདབ་པོ། །དེ་ནས་,K,,,,,≠,,,,c=d p=n 85.00%,c རྟེན(218), རྟེན་འབྲེལ(115); p བརྟེན(256); d རྟེན(218), རྟེན་འབྲེལ(115); n བརྟེན(256); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,15
གདབ་པོ། །དེ་ནས་འབྲུ་འམ་མེ་ཏོག་ལ་,བརྟེན་,རྟེན་,རྟེན་,བརྟེན་,འབྲེལ་གྱི་སྔགས་ལན་གསུམ་མམ་བདུན་བཟླས་ལ་དབུལ་,K,,,,,≠,,,,c=d p=n 85.00%,c རྟེན(218), ལ་རྟེན(864), རྟེན་འབྲེལ(115); p བརྟེན(256), ལ་བརྟེན(91); d རྟེན(218), ལ་རྟེན(864), རྟེན་འབྲེལ(115); n བརྟེན(256), ལ་བརྟེན(91); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,16
མ་ཧཱ་ཏེ་ཛེ། ནིར་ཀུ་ལེ། ,ནི་ རི་བ་,ནི ར་བ་,ནི ར་བ་,ནི་ རི་བ་,ཎི། སརྦ་ཏ་ཐཱ་ག་ཏ། ཧྲྀ་ད་,K,,,,,,s,,,c=d p=n 85.00%,c ; p ; d ; n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,10
ཨེ་བཾ་བཱ་དཱི་མ་ཧཱ་ཤྲ་མ་ཎཿ།། །།,,,,,,K,,,,,,,[ ],,c=p=d=n 5.00%,c (1), །།_།།(7586); p (1), །།_།།(7586); d (1), །།_།།(7586); n (1), །།_།།(7586); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,20
