Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཞེས་པ་འདི་རྣམས་ནི་བཞི་པའོ། །འབྱུང་ཁུངས་,ལས་,ལ་,ལ་,ལས་,ལྔ་པའོ་ཞེས་པ་ལྔ་པའི་རྣམ་དབྱེ་ཡིན་ནོ,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,D4274,12
། ཨུ་ཡིག་ནི་སུའིའོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་,ཏེ,ཏོ,ཏོ,ཏེ,། །དང་པོའི་མང་པོའི་ཚིག་ཛས྄་ཀྱི་ཛ་ཡིག་,K,,≠,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ཏེ(80365), ཏེ།_།(12767), དོན་ཏེ(41); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ཏེ(80365), ཏེ།_།(12767), དོན་ཏེ(41); ,D4274,27
སྔོན་དུ་རུཊའོ། །ཨུ་ཡིག་ནི་བརྗོད་པའི་དོན་,དུ,ཏོ,ཏོ,དུ,། །ཊ་ཡིག་ནི་ཊ་ཀིཏ་དག་དང་པོ་ཐ་མ་,K,,≠,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p དུ(11516), དུ།_།(5210), དོན་དུ(4790), དོན་དུ།_།(228); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n དུ(11516), དུ།_།(5210), དོན་དུ(4790), དོན་དུ།_།(228); ,D4274,80
པ་མ་ཡིན་པའི་སུ་ལའོ་ཞེས་པའི་རིང་པོ་ཉིད་,དོ,དོ,དོ,དེ,། །སུའིའོ་སུ་དབྱིའོ། །སུཔའི་རང་བཞིན་གྱི་ཞེས་,K,,≠,,,,,,,c=p=d n 8.17%,c དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); p དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); d དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); n དེ(1), དེ།_།(4260), ཉིད་དེ(1248), ཉིད་དེ།_།(405); ,D4274,124
ལས་ཀྱང་། སྔ་མ་བཞིན་དུ་སུའི་རུ་ཉིད་,དེ,དོ,དོ,དེ,།།རྣམ་པར་གཅད་པའོ། །དང་པོ་དག་གི་ཨཙ་,K,,≠,,,,,,,c=d p=n 85.20%,c དོ(6551), ཉིད་དོ(3385); p དེ(1), ཉིད་དེ(1248); d དོ(6551), ཉིད་དོ(3385); n དེ(1), ཉིད་དེ(1248); ,D4274,146
། །ཀུ་ལས་ཀྱང་ཞེས་པ་ལ་སོགས་པ་རྣམས་,ཀྱང་,ཀྱི་,ཀྱི་,ཀྱང་,ཥ་ཉིད་དོ། །ཀུན་དུ་བོད་པ་མ་ཡིན་པ་ལའོ,K,,≠,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), རྣམས་ཀྱི(571); p ཀྱང(95), རྣམས་ཀྱང(6429); d ཀྱི(5256), རྣམས་ཀྱི(571); n ཀྱང(95), རྣམས་ཀྱང(6429); ,D4274,282
ཨ་ཏུ་ཨ་སེ་དག་གིའོ་ཞེས་པ་རིང་པོ་ཉིད་,དུ,དོ,དོ,དུ,། །སུའི་སུ་དབྱིའོ། །བརྩེགས་པའི་ཚིག་གིའོ་ཞེས་,K,,≠,,,,,,,c=d p=n 85.20%,c དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); p དུ(11516), དུ།_།(5210), ཉིད་དུ(10830), ཉིད་དུ།_།(257); d དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); n དུ(11516), དུ།_།(5210), ཉིད་དུ(10830), ཉིད་དུ།_།(257); ,D4274,320
པའོ། །ཀུན་དུ་བོད་པ་ལ་ཨེ་ཉིད་མེད་,དོ,དེ,དེ,དོ,། མི་དབྱི་བ་ལ་ཞེས་པའི་ཚིག་ལས་སོ,K,,≠,,,,,,,c=d p=n 85.20%,c དེ(1), དེ།_(21445), མེད་དེ(3001), མེད་དེ།_(2362), ཉིད་མེད་དེ།_(177); p དོ(6551), དོ།_(439), མེད་དོ(10246); d དེ(1), དེ།_(21445), མེད་དེ(3001), མེད་དེ།_(2362), ཉིད་མེད་དེ།_(177); n དོ(6551), དོ།_(439), མེད་དོ(10246); ,D4274,698
ཎི། ཨ་ནྱ་ཞེས་པ་འདི་སྔ་མ་བཞིན་,ཏོ,ཏེ,ཏེ,ཏོ,། ཨ་ནྱཿ། ཨ་ནྱཽ། ཨ་ནྱེ། ,K,,≠,,,,,,,c=d p=n 85.20%,c ཏེ(80365), ཏེ།_(76922), བཞིན་ཏེ(136), བཞིན་ཏེ།_(1781), སྔ་མ་བཞིན་ཏེ།_(194); p ཏོ(2171), ཏོ།_(196); d ཏེ(80365), ཏེ།_(76922), བཞིན་ཏེ(136), བཞིན་ཏེ།_(1781), སྔ་མ་བཞིན་ཏེ།_(194); n ཏོ(2171), ཏོ།_(196); ,D4274,848
། ཥཊ་སུ། སཔྟན་ཞེས་པ་འདིའི་པཉྩན་བཞིན་,ནོ,ཏེ,ཏེ,ནོ,། སཔྟཿ། སཔྟ་བྷིཿ་སཔྟ་བྷྱཿ། སཔྟཱ་ནཱཾ,K,,≠,,,,,,,c=d p=n 85.20%,c ཏེ(80365), ཏེ།_(76922), བཞིན་ཏེ(136), བཞིན་ཏེ།_(1781); p ནོ(4158), ནོ།_(166), བཞིན་ནོ(241); d ཏེ(80365), ཏེ།_(76922), བཞིན་ཏེ(136), བཞིན་ཏེ།_(1781); n ནོ(4158), ནོ།_(166), བཞིན་ནོ(241); ,D4274,1032
ཡིག་ལ་ཨེ་ཡིག་བཞག་སྟེ། ང་ཡིག་ནི་,#ངེ་(དེ་),ངས་,ངས་,#ངེ་(དེ་),ང་སི་དག་གི་ཡ་ཨཱཏ་དག་གོ་ཞེས་པའི་,K,,,ངད,,,,,,c=d p=n 85.20%,c ངས(40), ནི་ངས(401); p ངེ(2); d ངས(40), ནི་ངས(401); n ངེ(2); ,D4274,34
