ཨང།,ཆོས་མཚན།,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།,པེ་ཅིན་བསྡོམས།,Peking pgs.,548,Peking vol.,1,,པོད་དང་པོའི་བསྡོམས།,གཉིས་པ་དང་གསུམ་པའི་བསྡོམས།,སྡེ་དགེའི་ཤོག་གྲངས།,Derge pgs.,26819,Derge vol.,45,,,,,,,,,,
30,དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ་ཞེས་བྱ་བ།,17-1,རྒྱུད། ཏ5,དཔལ་མར་མེ་མཛད།,1007-1022,ཟ34བ-42བ,ཏ28བ-34བ,6,,,,,,,13,,ཏ,28,b,34,b,,,,,,,,,,
31,འབྱུང་པོ་ཐམས་ཅད་པའི་གཏོར་མའི་ཆོ་ག,17-2,རྒྱུད། ཏ།5,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1450-1455,ཞ585ན-587ན,ཏ185བ-187ན,33,,,,,,,6,,ཏ,185,b,187,a,,,,,,,,,,
32,ཀྱེའི་རྡོ་རྗེ་ལས་བྱུང་བའི་ཀུ་རུ་ཀུལླེའི་མན་ངག་ཆེན་པོ་ལྔ།,7-8,རྒྱུད་ ཏ5,སློབ་དཔོན་ཞི་བ་འཚོ།,1632-1635,ཟ122བ-123བ,ཏ242བ-243བ,52,,,,,,,3,,ཏ,242,b,243,b,,,,,,,,,,
33,དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས་ཞེས་བྱ་བ།,12-2,རྒྱུད། ཝ11,དཔལ་ལྡན་ཆོས་ཀྱི་གྲགས་པ།,625-629,ན282བ-284བ,ཝ242ན-243ན,23,,,,,,,3,,ཝ,242,a,243,a,,,,,,,,,,
34,མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ།,17-3,རྒྱུད། ཞ།11,ཇོ་བོ་རྗེ།,1523-1563,པ185བ-204ན,ཞ186ན-202བ,,,,,,,,32,,ཞ,186,a,202,b,,,,,,,,,,
35,དཔལ་འཁོར་སྡོམ་པའི་སྒྲུབ་ཐབས།,17-4,རྒྱུད། ཞ11,ཇོ་བོ་རྗེ།,1566-1572,པ204ན-206བ,ཞ202བ-204བ,,,,,,,,5,,ཞ,202,b,204,b,,,,,,,,,,
36,དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ།,17-5,རྒྱུད། ཞ11,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1573-1579,པ206བ-209བ,ཞ204བ-207ན,,,,,,,,8,,ཞ,204,b,207,a,,,,,,,,,,
37,དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-6,རྒྱུད། ཞ11,ཇོ་བོ་རྗེ།,1581-1584,པ209བ-210བ,ཞ207ན-208ན,,,,,,,,3,,ཞ,207,a,208,a,,,,,,,,,,
38,རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,17-7,རྒྱུད། ཞ11,ཇོ་བོ་རྗེ།,1585-1589,པ210བ-212ན,ཞ208ན-209བ,,,,,,,,2,,ཞ,208,a,209,b,,,,,,,,,,
39,རྡོ་རྗེ་གདན་གྱི་གླུའི་འགྲེལ་པ།,17-8,རྒྱུད། ཞ11,ཇོ་བོ་རྗེ།,1590-1604,པ213ན-218བ,ཞ209བ-215ན,,,,,,,,14,,ཞ,209,b,215,a,,,,,,,,,,
40,སྤྱོད་པའི་གླུ།,17-9,རྒྱུད། ཞ11,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1606-1610,པ218བ-220བ,ཞ215ན-216བ,,,,,,,,2,,ཞ,215,a,216,b,,,,,,,,,,
41,སྤྱོད་པའི་གླུའི་འགྲེལ་པ།,17-10,རྒྱུད། ཞ11,ཇོ་བོ་རྗེ།,1611-1617,པ220བ-223ན,ཞ216བ-219ན,,,,,,,,8,,ཞ,216,b,219,a,,,,,,,,,,
42,རིགས་ལྡན་མའི་དེ་ཁོ་ན་ཉིད་ངེས་པ་ཞེས་བྱ་བ།,,རྒྱུད། ཟ12,དཱི་པཾ་ཀ་ར།,624-638,ཕ243བ-250བ,ཟ208བ-214ན,,,,,,,,14,,ཟ,208,b,214,a,,,,,,,,,,
43,རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་བསྟོད་པ།,17-11,རྒྱུད། འ12,ཇོ་བོ་རྗེ།,1052-1054,ཕ420བ-421ན,འ102བ-104ན,,,,,,,,6,,ཨ,102,b,104,a,,,,,,,,,,
44,རིན་པོ་ཆེ་རྒྱན་གྱི་སྒྲུབ་པ།,17-12,རྒྱུད། འ12,ཇོ་བོ་རྗེ།,1076-1080,ཀ428བ-420ན,འ110ན-111བ,,,,,,,,2,,ཨ,110,a,111,b,,,,,,,,,,
45,རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་པའི་ཐབས།,17-13,རྒྱུད། འ12,མར་མེ་མཛད་ཡེ་ཤེས།,1081-1084,ཕ430བ-431བ,འ111བ-112བ,,,,,,,,3,,ཨ,111,b,112,b,,,,,,,,,,
46,དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-14,རྒྱུད། འ12,ཇོ་བོ་རྗེ།,1085-1087,ཕ431བ-432བ,འ112བ-113ན,,,,,,,,4,,ཨ,112,b,113,a,,,,,,,,,,
47,རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་བསྟོད་པ།,17-15,རྒྱུད། འ12,ཇོ་བོ་རྗེ།,1089-1091,ཕ432བ-433བ,འ113ན-114ན,,,,,,,,3,,ཨ,113,a,114,a,,,,,,,,,,
48,མཆན་ཁུང་གི་སྦྱོར་བ།,1-25,རྒྱུད། ཡ13,སློབ་དཔོན་ཀླུ་སྒྲུབ།,187-191,འ89བ-91ན,ཡ72བ-73བ,,,,,,,,3,,ཡ,72,b,73,b,,,,,,,,,,
50,རྣལ་འབྱོར་ཀྱི་རྒྱུད་དཔལ་གདན་བཞི་པའི་སྒྲུབ་ཐབས།,2-1,རྒྱུད། ཡ13,འཕགས་པ་ལྷ།,192-213,འ91ན-101ན,ཡ73བ-82ན,,,,,,,,20,,ཡ,73,b,82,a,,,,,,,,,,
51,ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས།,2-2,རྒྱུད། ཡ13,འཕགས་པ་ལྷ།,276-299,འ129ན-141བ,ཡ103བ-113ན,,,,,,,,22,,ཡ,103,b,113,a,,,,,,,,,,
52,རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སྙིང་པོ་མདོར་བསགས་པ་ཞེས་བྱ་བ།,2-3,རྒྱུད། ཡ13,འཕགས་པ་ལྷ།,303-365,འ142ན-172བ,ཡ113ན-138ན,,,,,,,,51,,ཡ,113,a,138,a,,,,,,,,,,
53,དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ་བཞུགས།,2-4,རྒྱུད། ཡ13,འཕགས་པ་ལྷ།,372-382,འ173ན-177བ,ཡ138ན-142ན,,,,,,,,9,,ཡ,138,a,142,a,,,,,,,,,,
51,རྡོ་རྗེ་དྲིལ་ཐབས་ཀྱིས་མཆོད་པའི་ཐབས་ཀྱི་རིམ་པ།,2-5,རྒྱུད། ཡ13,འཕགས་པ་ལྷ།,384-387,འ177བ-179ན,ཡ142ན-143ན,,,,,,,,3,,ཡ,142,a,143,a,,,,,,,,,,
52,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,1-26,རྒྱུད། ཤ14,འཕགས་པ་ཀླུ་སྒྲུབ།,843-853,ལ1བ-6བ,ཤ1བ-5བ,,,,,,,,9,,ཤ,1,b,5,b,,,,,,,,,,
53,ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ།,1-27,རྒྱུད། ཤ14,འཕགས་པ་ཀླུ་སྒྲུབ།,855-857,ལ6བ-7བ,ཤ6ན-6བ,,,,,,,,0,,ཤ,6,a,6,b,,,,,,,,,,
54,སྒྲོལ་མ་དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པ།,17-97,རྒྱུད། ཤ།14,དཱི་པཾ་ཀ་ར།,1003-1004,ལ61བ8-62ན4,ཤ52ན5-52བ1,,,,,,,,0,,ཤ,52,a,52,b,,,,,,,,,,
55,བྱང་ཆུབ་ཀྱི་སེམས་བདེ་བའི་མན་ངག,17-98,རྒྱུད། ཤ།14,དཱི་པཾ་ཀ་ར།,1005-1007,ལ138ན7-139ན2,ཤ52བ1-53ན3,,,,,,,,4,,ཤ,52,b,53,a,,,,,,,,,,
56,རྡོ་རྗེ་ཕག་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ།,5-1,རྒྱུད། ཤ14,ཟླ་བ་གྲགས་པ།,1148-1150,ལ106བ-107ན,ཤ91ན-91བ,,,,,,,,0,,ཤ,91,a,91,b,,,,,,,,,,
57,དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,1-28,རྒྱུད། ཤ14,སློབ་དཔོན་ཀླུ་སྒྲུབ།,1367-1370,ཟུ254ན-256ན,ཤ156ན-158ན,,,,,,,,5,,ཤ,156,a,158,a,,,,,,,,,,
