Rgyal dka' zla ba,རྒྱལ་དཀའ་ཟླ་བ
Spyan gzigs dbang phyug,སྤྱན་གཟིགས་དབང་ཕྱུག
Hruṁ mdsad rdo rje,ཧྲུṁ་མཛད་རྡོ་རྗེ
Klu sgrub,ཀླུ་སྒྲུབ
nyi ma dpal ye shes,ཉི་མ་དཔལ་ཡེ་ཤེས
Prajnyāguru,
Dīpaṁkara,
Jayavarma,
Grags pa bshes gnyen (Yashomitra),གྲགས་པ་བཤེས་གཉེན ༼ཡཤོམིཏྲ༽
Rdo rje grub pa,རྡོ་རྗེ་གྲུབ་པ
Jālandhari,
Dri med bshes gnyen,དྲི་མེད་བཤེས་གཉེན
Jnyānashrīmitra,
Bhakhana,
Sgrol ba'i dbang phyug,སྒྲོལ་བའི་དབང་ཕྱུག
Nag po ba,ནག་པོ་བ
Nag pa,ནག་པ
Dpa' bo (?),དཔའ་བོ ༼?༽
shākyashrībhadra,
Snyan grags bzang po,སྙན་གྲགས་བཟང་པོ
Mya ngan med pa'i dpal,མྱ་ངན་མེད་པའི་དཔལ
Tshul khrims 'phags pa,ཚུལ་ཁྲིམས་འཕགས་པ
[Dānadāsa],
shākyamitra,
Ayogin,
Campaka,
Dri med grags pa,དྲི་མེད་གྲགས་པ
Kṛṣṇa paṇḍit,
Ye shes dpal bzang po (Jnyānashrībhadra),ཡེ་ཤེས་དཔལ་བཟང་པོ ༼ཇཉāནཤརīབྷདྲ༽
Blo gros bzang po,བློ་གྲོས་བཟང་པོ
Tshul khrims bskyangs,ཚུལ་ཁྲིམས་བསྐྱངས
Rdo rje mtshon cha,རྡོ་རྗེ་མཚོན་ཆ
Legs ldan 'byed,ལེགས་ལྡན་འབྱེད
Mekola,
Dpal,དཔལ
Dge 'dun byin gyi bu,དགེ་འདུན་བྱིན་གྱི་བུ
Sangs rgyas gsong ba,སངས་རྒྱས་གསོང་བ
Dus kyi 'khor lo,དུས་ཀྱི་འཁོར་ལོ
Dgra las rnam par rgyal ba,དགྲ་ལས་རྣམ་པར་རྒྱལ་བ
Cito,
Mdses bkod,མཛེས་བཀོད
Lhan skyes sgegs pa,ལྷན་སྐྱེས་སྒེགས་པ
Rnam par snang mdsad srung ba,རྣམ་པར་སྣང་མཛད་སྲུང་བ
Dgra las rgyal ba,དགྲ་ལས་རྒྱལ་བ
Naropa,
Kanthāri,
Ri khrod shabs,རི་ཁྲོད་ཤབས
Lhan cig skyes pa'i rol pa,ལྷན་ཅིག་སྐྱེས་པའི་རོལ་པ
Sprin gyi bshon pa'i lha,སྤྲིན་གྱི་བཤོན་པའི་ལྷ
Rnyog pa med pa,རྙོག་པ་མེད་པ
Mchog sred,མཆོག་སྲེད
Stong pa nyid kyi ting nge 'dsin rdo rje,སྟོང་པ་ཉིད་ཀྱི་ཏིང་ངེ་འཛིན་རྡོ་རྗེ
Shi ba'i snying po,ཞི་བའི་སྙིང་པོ
Ḍambi heruka,
Byang chub rdo rje,བྱང་ཆུབ་རྡོ་རྗེ
Gnyis skyes srung ba,གཉིས་སྐྱེས་སྲུང་བ
shilāli,
Tshangs sras bshad pa'i rdo rje (Brahmaputra hasavajra),ཚངས་སྲས་བཤད་པའི་རྡོ་རྗེ
Kodhali,
candragomin,
Birba pa (Virūpa),
Zla mdses,ཟླ་མཛེས
Dga' rab rdo rje,དགའ་རབ་རྡོ་རྗེ
Spyod pa nag po ba,སྤྱོད་པ་ནག་པོ་བ
nyi ma sbas pa,ཉི་མ་སྦས་པ
Kukurāja,
Ḍombi pa,
'gro ba'i me long,འགྲོ་བའི་མེ་ལོང
Padma'i myu gu rdo rje,པདྨའི་མྱུ་གུ་རྡོ་རྗེ
Jnyānamitra,
Ajitamitragupta,
Blo gros brtan pa,བློ་གྲོས་བརྟན་པ
Culiki,
Snyan grags bzang po(K),སྙན་གྲགས་བཟང་པོ༼ཀ༽
Abhiyukta,
Umāpatidatta,
Dhetana,
Vidyākaraprabha,
