སྣར་	སྡེ་	པེ་	ཅོ་
དེ་	འདི་	དེ་	འདི་	
གྱིས་	ནི་	གྱིས་	ནི་	
འདི ར་	འདི ར་	འདི ས་	འདི ར་	
ན	ནས	ན	ནས	
འགའ་	གང་	འགའ་	གང་	
དེ་	དེ ས་	དེ་	དེ ས་	
ཅི་	ཅི ས་	ཅི་	ཅི ས་	
ལ་	ལས་	ལ་	ལས་	
ལ	ལ འང་	ལ	ལ འང་	
དེ་	དེ ས་	དེ་	དེ ས་	
བ འི	བ འི	བ འོ	བ འི	
ཡིས་	ཡི་	ཡིས་	ཡི་	
གི་	ཉིད་	གི་	ཉིད་	
ཡིན	ཡིས	ཡི	ཡིས	
ཡིས་གཞན་	དེ ས་གཞན་	ཡིས་གཞད་	དེ ས་གཞན་	
བ	བ ས	བ	བ ས	
འདི་	འདི ར་	འདི་	འདི ར་	
ན	དུ	ན	དུ	
པ ས་	པ འི་	པ ས་	པ འི་	
ཡི་ཚིག་གཏུགས་ནས	ཡིས་ཚེ་གཏུགས་ན	ཡི་ཚིག་གཏུགས་ནས	ཡིས་ཚེ་གཏུགས་ན	
ལ་	ལ་	ལ་	བ་	
གི	གིས	གི	གིས	
པ འི	པ	པ འི	པ	
གིས་	གི་	གིས་	གི་	
པ་དེ ས་	པ ས་དེ ར་	པ་དེ ས་	པ ས་དེ ར་	
ན་	ན འང་	ན་	ན འང་	
དུ་	པོ་	དུ་	པོ་	
ན་	ན་	ན་	ནས་	
པ ར་	པ་	པ ར་	པ་	
ཀྱི་ནི་མཆོག་	ཀྱིས་ནི་ཆོག་	ཀྱི་ནི་མཆོག་	ཀྱིས་ནི་ཆོག་	
ལྟར་	ལྟ ས་	ལྟར་	ལྟ ས་	
བུ་	བུ འི་	བུ་	བུ འི་	
གིས	གི	གིས	གི	
ཐིག་	ཐིགས་	ཐིག་	ཐིགས་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
ཡིས	ཡི	ཡིས	ཡི	
བར་བྱ	བྱ་བ	བར་བྱ	བྱ་བ	
ཡི	ཡིས	ཡི	ཡིས	
ལ འང་	ལ་	ལ འང་	ལ་	
བར་	བ་	བར་	བ་	
པ་	པ ས་	པ་	པ ས་	
ལྟ ས་བདག་ཉིད་	ལྟར་བདག་གནོད་	ལྟ ས་བདག་ཉིད་	ལྟར་བདག་གནོད་	
པ	པ ར	པ	པ ར	
ཉིད་	གི་	ཉིད་	གི་	
འདི་	འདི འི་	འདི་	འདི འི་	
ཡིས་	ཡི་	ཡིས་	ཡི་	
གི་ལྷག་བྱ་	ཉིད་ལྷག་བྱ འི་	གི་ལྷག་བྱ་	ཉིད་ལྷག་བྱ འི་	
ནི་	གི་	ནི་	གི་	
བ ས་	ལས་	བ ས་	ལས་	
