ཆོས་ཚན།,དབུ།,རྒྱབ་འདུན།,དབུའི་ཐིག་ཕྲེང་།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,,
1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།_conc-corrected.txt,1,b,1,5,5,7,19,a,6,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག་པ་མ་ཙད་དབུའི་མཚན་བྱང་ཆད་འདུག
1-88_རིགས་པ་དྲུག་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,20,b,1,7,7,7,22,b,6,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག།
1-9_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།_conc-corrected.txt,76,a,1,7,7,7,76,b,7,,
1-90_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།_conc-corrected.txt,22,b,6,7,7,7,24,a,6,,
1-91_སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,24,a,6,7,7,7,27,a,1,,
1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,27,a,1,7,7,7,29,a,7,,
1-93_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,99,b,1,7,7,7,110,a,4,,
1-93_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc.txt,99,b,1,7,7,7,110,a,4,,
1-94_སྟོང་པ་བདུན་ཅུ་པའི་འགྲེལ་པ།_conc-corrected.txt,110,a,3,7,7,7,121,a,4,,
1-95_རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།_conc.txt,121,a,4,7,7,7,137,a,7,,
1-97_ཐེག་པ་ཆེན་པོ་ཉི་ཤུ་པ།_conc-corrected.txt,178,b,6,7,7,7,179,b,3,,
1-98_ཡི་གེ་བརྒྱ་པ།_conc-corrected.txt,138,b,1,7,7,7,138,b,4,,
1-99_ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།_conc-corrected.txt,138,b,4,7,7,7,146,b,1,,
1-99_ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།_conc.txt,138,b,4,7,7,7,146,b,1,,
117_ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་རྒྱ་འགྲེལ།_conc.txt,194,a,2,7,7,7,202,a,6,,
118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།_conc-corrected.txt,77,a,3,7,7,7,79,b,7,,དབུའི་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག
120_ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ་ཞེས་བྱ་བ།_conc-corrected.txt,128,a,6,7,7,7,133,a,4,,
145_ཉམ་གྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ།_conc-corrected.txt,83,a,1,7,7,7,85,b,7,,དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
149_དབང་གི་རིམ་པ་བསྟན་པ་ཞེས་བྱ་བ།_conc-corrected.txt,153,a,5,7,7,7,155,a,4,,དབུའི་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག
291_མགོན་པོ་བྱ་རོག་གདོང་གི་གཏོར་མདོས།_conc-corrected.txt,48,a,2,8,8,8,56,a,6,,
564_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt,250,b,4,7,7,7,251,a,7,,
63_དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt,268,b,1,7,7,7,269,a,7,,
64_དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt,268,b,1,7,7,7,269,a,7,,
